ip_a,ip_b,mac_a,mac_b,port_a,port_b,prot,tran_prot,ts_start,ts_end,f4b_a,f4b_b,sfp_a,sfp_b,packets_a,bytes_a,packets_b,bytes_b,min_load_a,mean_load_a,max_load_a,stdv_load_a,min_load_b,mean_load_b,max_load_b,stdv_load_b,min_iat_a,mean_iat_a,max_iat_a,stdv_iat_a,min_iat_b,mean_iat_b,max_iat_b,stdv_iat_b
0e2388c975cc,9d304cf79a2c,13d35af5c06b,e323b826aa71,443,54194,No_Payload,6,1570732114,1570732114,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,229950,229950,229950,0,0,71686,143373,71686
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54197,HTTP,6,1570732116,1570732116,48545450,504f5354,178,563,6,188,7,653,0,31,178,66,0,93,563,194,128,45125,215489,78586,0,2317,12187,4152
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54195,HTTP,6,1570732116,1570732116,48545450,504f5354,178,563,5,183,7,653,0,37,178,71,0,93,563,194,184,43462,214998,85770,0,13372,55109,18609
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54196,HTTP,6,1570732116,1570732116,48545450,504f5354,178,563,5,183,7,653,0,37,178,71,0,93,563,194,274,43501,214747,85625,0,13838,55073,18336
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54200,HTTP,6,1570732119,1570732120,48545450,47455420,157,416,10,9256,10,416,0,926,1448,649,0,42,416,125,35,16934,156411,46618,0,20652,185634,55106
129e73a1d051,9d304cf79a2c,13d35af5c06b,e323b826aa71,443,54199,HTTPS,6,1570732119,1570732122,16030300,16030102,1398,517,65,10544,68,1899,0,162,1398,274,0,28,517,71,31,13424,56776,18625,0,30940,797887,114849
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54204,IMAPS,6,1570732124,1570732126,16030102,16030300,547,203,30,1420,31,2418,0,47,547,108,0,78,580,125,0,21078,147017,36316,38,66049,311817,57572
9135e2e120ed,9d304cf79a2c,13d35af5c06b,e323b826aa71,443,54203,HTTPS,6,1570732122,1570732127,16030300,16030102,1398,517,27,9408,38,4344,0,348,1398,530,0,114,1053,218,80,44703,184222,48454,0,86844,1307247,243648
b58fab86d69f,9d304cf79a2c,13d35af5c06b,e323b826aa71,443,54206,HTTPS,6,1570732127,1570732130,1603030c,16030102,1330,517,11,3535,13,1657,0,321,1330,508,0,127,517,194,82,78410,189283,83703,0,158791,1981452,526342
f7e5fd046b76,0704cfddbb5f,,,0,0,Unsupported,58,1571596631,1571596631,0,0,0,0,1,16,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54207,IMAPS,6,1570732128,1570732131,16030102,16030300,547,203,30,1447,30,2403,0,48,547,108,0,80,579,128,0,13966,177927,32827,82,88829,822795,142201
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54209,IMAPS,6,1570732133,1570732138,16030102,16030300,547,203,37,1584,36,3574,0,43,547,99,0,99,580,150,0,48504,296508,77574,81,79747,334139,69891
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54205,IMAPS,6,1570732126,1570732141,16030102,16030300,547,203,29,1428,27,2292,0,49,547,110,0,85,580,134,0,404034,9426805,1747204,95,98049,884169,157074
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54210,IMAPS,6,1570732138,1570732141,16030102,16030300,547,203,26,1350,24,2496,0,52,547,116,0,104,580,144,0,24793,150233,41003,85,81499,284108,62992
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54211,HTTP,6,1570732144,1570732144,48545450,504f5354,236,551,5,1001,7,603,0,200,765,297,0,86,551,191,118,50296,250647,100175,0,26828,171262,59121
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54212,HTTP,6,1570732144,1570732146,48545450,47455420,222,455,270,362051,195,455,0,1341,1448,317,0,2,455,32,21,3536,174449,14661,0,1897,36730,5474
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54213,HTTP,6,1570732146,1570732146,48545450,504f5354,236,562,7,4484,9,635,0,641,1448,677,0,71,562,175,37,56040,391202,136830,0,22495,193397,60437
e45614e25db6,9d304cf79a2c,13d35af5c06b,e323b826aa71,443,54192,HTTPS,6,1570732114,1570732146,1603030c,16030102,1360,517,16,5473,17,1304,0,342,1360,510,0,77,517,149,80,103962,252840,97900,0,1842090,30358770,7129753
fd31810146c8,9d304cf79a2c,13d35af5c06b,e323b826aa71,5228,54198,Unknown_TCP,6,1570732118,1570732151,e06f1692,4d8396cb,24,145,10,1664,11,2400,0,166,799,310,0,218,1108,420,3118,2935197,28849846,8638300,0,370920,1025976,400957
6de51d9f5912,9d304cf79a2c,13d35af5c06b,e323b826aa71,443,54201,HTTPS,6,1570732120,1570732151,16030300,16030102,1398,517,13,10149,15,2128,0,781,1398,640,0,142,1114,301,1351,44718,120563,40359,0,2089229,30944410,7712145
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54214,HTTP,6,1570732156,1570732156,48545450,504f5354,236,562,7,4484,8,635,0,641,1448,677,0,79,562,184,121,87341,325624,138253,0,5620,32506,10278
84f1c8066729,9d304cf79a2c,13d35af5c06b,e323b826aa71,80,54215,HTTP,6,1570732166,1570732166,48545450,504f5354,236,562,7,4484,8,635,0,641,1448,677,0,79,562,184,77,52860,312040,107500,0,12505,49362,18223
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54193,IMAPS,6,1570732114,1570732210,16030102,16030300,517,1398,138,2390,145,69613,0,17,517,53,0,480,1398,586,0,636299,45490217,4280184,36,61837,462201,77277
8865c20a5513,9d304cf79a2c,13d35af5c06b,e323b826aa71,993,54208,IMAPS,6,1570732131,1570732210,16030102,16030300,547,203,61,1859,59,3963,0,30,547,79,0,67,579,104,0,895296,35304603,4650682,92,412662,20012845,2574245
89d5bf5b39f9,30d4de99795b,ebd1a7fa8544,e323b826aa71,67,68,DHCP,17,1570732113,1570732113,0,1010600,0,300,0,0,1,300,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0
9d304cf79a2c,84f1c8066729,e323b826aa71,13d35af5c06b,68,67,DHCP,17,1570732113,1570732113,2010600,0,300,0,1,300,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0
